ber,ber_th,snr,snr_measured,distance,distance_th,duration,state,pt,energy,N,ber_diff,distance_diff
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21309.822687129596,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21307.645374259195,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21305.468061388794,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21303.290748518393,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21301.113435647992,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21298.93612277759,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21296.75880990719,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21294.58149703679,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21292.40418416639,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21290.22687129599,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21288.049558425588,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21285.872245555187,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21283.694932684786,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21281.517619814385,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21279.340306943985,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21277.162994073584,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21274.985681203183,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21272.808368332782,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21270.63105546238,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21268.45374259198,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21266.27642972158,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21264.09911685118,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21261.92180398078,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21259.744491110378,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21257.567178239977,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21255.389865369576,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21253.212552499175,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21251.035239628774,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21248.857926758374,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21246.680613887973,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21244.503301017572,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21242.32598814717,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21240.14867527677,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21237.97136240637,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21235.79404953597,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21233.616736665568,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21231.439423795167,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21229.262110924767,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21227.084798054366,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21224.907485183965,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21222.730172313564,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21220.552859443163,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21218.375546572763,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21216.198233702362,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21214.02092083196,2,-1.5109676600106026e-14,1.278949315215729
1.1102230246251565e-15,1.6219899624731182e-14,-10,-6,3.278949315215729,2,11.17375800879649,"[0.8, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21211.84360796156,2,-1.5109676600106026e-14,1.278949315215729
