ber,ber_th,snr,snr_measured,distance,distance_th,duration,state,pt,energy,N,ber_diff,distance_diff
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21309.470759116797,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21306.941518233598,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21304.4122773504,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21301.8830364672,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21299.353795584,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21296.8245547008,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21294.2953138176,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21291.766072934402,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21289.236832051203,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21286.707591168004,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21284.178350284805,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21281.649109401606,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21279.119868518406,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21276.590627635207,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21274.061386752008,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21271.53214586881,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21269.00290498561,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21266.47366410241,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-17.5,-6,5.131877440579328,2,2.4582073563117315,"[0.2, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21256.576709290675,1,-1.6219899624731182e-14,3.131877440579328
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21254.047468407476,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21251.518227524277,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21248.988986641078,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21246.45974575788,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21243.93050487468,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21241.40126399148,1,-1.6219899624731182e-14,1.2814317478996728
0.0,1.6219899624731182e-14,-12.5,-6,3.281431747899673,2,9.618999631425723,"[0.6, 0.021004816229435796, 0.52, 0.25, 0.0, 0.2]",0.012589,21238.87202310828,1,-1.6219899624731182e-14,1.2814317478996728
