#{"t_start": 1671536172.329341, "env_id": null}
r,l,t
-506.013064,200,72.823771
1352.727526,200,73.170033
987.574735,200,73.514304
1079.277009,200,73.867607
785.253832,200,74.216713
648.432186,200,74.562568
1279.176065,200,74.911479
-247.016278,200,75.261965
1395.277093,200,76.285347
1360.593892,200,76.634267
1376.989642,200,76.984283
1156.946702,200,77.337643
1384.698704,200,77.683472
1202.61351,200,78.031599
1400.910444,200,78.37858
1045.973049,200,78.733888
-176.587009,200,79.082036
1269.480791,200,79.429545
817.067864,200,80.615905
649.113262,200,80.958674
754.90924,200,81.302748
1382.770517,200,81.652859
1059.494523,200,81.999964
-272.527173,200,82.345379
1158.261972,200,82.704013
1092.535293,200,83.050116
744.542957,200,83.390197
884.588728,200,83.739289
937.390344,200,84.779482
1138.232992,200,85.120526
1175.785172,200,85.478264
1230.800242,200,85.824405
1134.845415,200,86.17092
1146.363135,200,86.522586
1156.392283,200,86.86836
1149.741183,200,87.215461
880.00951,200,87.558382
1261.028022,200,87.912901
1308.540999,200,88.261468
1368.406125,200,89.322118
1054.728925,200,89.672151
1378.543498,200,90.016955
1189.215079,200,90.365493
1154.303691,200,90.785371
1304.854301,200,91.152416
1050.673887,200,91.500461
-550.722174,200,91.85452
1164.081361,200,92.207459
1276.950328,200,92.587444
1213.44738,200,93.92088
1247.59776,200,94.273935
1265.989746,200,94.618015
1072.286939,200,94.966084
1412.277842,200,95.319258
-333.202425,200,95.671882
1273.734686,200,96.02113
-200.45627,200,96.366281
1248.062182,200,96.716619
744.856472,200,97.072459
1225.387192,200,98.020133
1184.570776,200,98.372173
1277.002087,200,98.717539
-367.789826,200,99.070594
1200.893203,200,99.416669
794.644753,200,99.769685
1199.86877,200,100.125534
1395.371033,200,100.470683
772.138684,200,100.825892
1182.759853,200,101.172697
848.012501,200,102.135247
1381.164887,200,102.483639
1288.25114,200,102.837122
1296.373509,200,103.186568
1097.612521,200,103.534689
1259.349695,200,103.889353
1388.381227,200,104.238756
-300.794786,200,104.589358
1336.259513,200,104.935883
-515.798481,200,105.280851
-245.063715,200,105.637464
-256.967082,200,106.612823
1248.776915,200,106.961164
-356.755386,200,107.308184
729.351805,200,107.664825
1195.581098,200,108.015719
765.307971,200,108.361874
768.752496,200,108.708097
1409.781092,200,109.06485
1070.678838,200,109.416648
1359.795289,200,109.759335
1267.238616,200,110.79112
900.347461,200,111.13521
1225.824191,200,111.483932
1174.400606,200,111.837877
1263.255771,200,112.184639
1303.905626,200,112.533426
1291.811323,200,112.879567
948.262615,200,113.235554
1305.767647,200,113.584293
1231.812242,200,113.928504
1282.85477,200,114.890722
668.643433,200,115.236228
1211.752245,200,115.590983
-511.639218,200,115.940149
-355.128766,200,116.296345
766.827338,200,116.644825
1205.962095,200,116.990247
1324.868895,200,117.344861
1232.175927,200,117.690526
864.553305,200,118.045095
1215.058867,200,119.007276
1162.035441,200,119.353888
1291.626447,200,119.703209
1283.133398,200,120.046603
1229.614486,200,120.402641
791.590115,200,120.752616
1272.852504,200,121.098138
1308.336085,200,121.445226
893.93373,200,121.802234
-338.538689,200,122.150211
1334.457787,200,123.109157
1249.43483,200,123.454341
-150.450492,200,123.806246
1148.223356,200,124.161455
1184.486428,200,124.515263
949.993587,200,124.869405
1118.712534,200,125.216206
1328.46303,200,125.562851
1260.971991,200,125.908766
1127.132319,200,126.265062
1296.102907,200,126.615603
1314.156937,200,127.576307
-216.044159,200,127.921662
1324.879791,200,128.271647
1272.094993,200,128.634278
1311.525494,200,128.989673
-325.757791,200,129.334543
1220.501203,200,129.682004
1250.497351,200,130.033906
1350.581826,200,130.384274
1113.442667,200,130.729475
1244.466515,200,131.752067
1261.535488,200,132.10178
1241.440756,200,132.450008
1237.288955,200,132.802401
1321.663448,200,133.148229
940.860954,200,133.492998
1296.160253,200,133.837445
1308.43447,200,134.192645
1293.543982,200,134.539587
1187.304596,200,134.887701
1074.345552,200,135.834489
1147.107142,200,136.187219
1364.173927,200,136.533817
1310.475296,200,136.87929
1364.822443,200,137.237287
1408.671504,200,137.586796
1311.564942,200,137.938648
1213.762752,200,138.287772
1257.998363,200,138.637442
1291.656156,200,138.991398
1287.107751,200,139.951096
-508.080197,200,140.296323
991.70656,200,140.645323
-796.162846,200,140.998235
1383.842672,200,141.339321
1395.690212,200,141.679414
974.765779,200,142.024493
-817.391822,200,142.37855
-713.617436,200,142.727236
1265.069979,200,143.071404
1401.247453,200,143.427245
1275.921628,200,144.391839
-509.045502,200,144.7484
1378.527844,200,145.105058
1286.451385,200,145.452331
-512.11076,200,145.800112
1381.843845,200,146.155035
1350.30875,200,146.54468
969.758143,200,146.891901
1347.330175,200,147.246066
-537.887439,200,147.592803
1397.053049,200,148.564662
1304.287867,200,148.911773
-452.258691,200,149.259664
1290.609431,200,149.616848
1280.025936,200,149.959703
1314.545595,200,150.30448
1011.909918,200,150.643571
954.858524,200,150.999397
-332.965383,200,151.34695
981.108492,200,151.695243
1331.487771,200,152.670694
1276.992831,200,153.023079
1249.502634,200,153.367132
1010.694647,200,153.716209
1207.947869,200,154.061665
1253.189329,200,154.414654
1219.786943,200,154.76023
1223.146586,200,155.106752
1288.092918,200,155.454182
1281.08301,200,155.806219
1251.942057,200,156.77085
1026.650355,200,157.118774
1316.130733,200,157.475139
1082.463764,200,157.824313
1261.39213,200,158.170021
1303.199644,200,158.517281
1257.675618,200,158.87482
1243.204772,200,159.222292
1311.494773,200,159.56947
1365.366596,200,159.922449
1003.187209,200,160.270329
1337.942735,200,161.228791
-691.280317,200,161.575935
1348.08451,200,161.933185
1408.160751,200,162.28588
1330.637959,200,162.640615
1354.566052,200,162.986032
1374.390198,200,163.334612
1344.315798,200,163.684109
1250.678653,200,164.039177
1335.918863,200,164.389805
1359.353723,200,165.350881
1392.710968,200,165.706236
1353.387612,200,166.057043
1350.04878,200,166.419977
1312.178641,200,166.77328
1347.136826,200,167.118916
1250.30507,200,167.46833
1107.033053,200,167.82339
1101.420891,200,168.17424
1223.731118,200,168.529914
1279.119557,200,169.485394
1397.609316,200,169.838681
1411.713951,200,170.187045
1371.909329,200,170.540765
1431.927128,200,170.889645
-803.849744,200,171.247288
1123.851287,200,171.593698
1420.799266,200,171.951419
1359.529831,200,172.300258
1250.514055,200,172.657819
1390.930274,200,173.62122
1365.034125,200,173.967633
-882.973848,200,174.324814
1387.213989,200,174.68059
1427.766551,200,175.029374
1395.859201,200,175.375656
1392.665208,200,175.732987
1413.560294,200,176.083881
1384.395955,200,176.441795
1240.8788,200,176.801751
1382.639365,200,177.15577
1435.772254,200,178.116019
1225.003073,200,178.470273
1405.286105,200,178.821208
1401.24326,200,179.178702
1191.180646,200,179.526392
1382.147443,200,179.883471
1370.140955,200,180.233118
1424.542516,200,180.591548
1116.178448,200,180.951284
1366.879392,200,181.29989
1417.052861,200,182.242992
1410.660646,200,182.599589
1197.772419,200,182.952814
1375.492785,200,183.311438
-998.910829,200,183.671856
1259.435833,200,184.086433
1438.685941,200,184.446023
1405.616354,200,184.795397
1431.111058,200,185.15449
1355.123528,200,185.511786
1348.935453,200,186.488217
1410.211165,200,186.843489
1417.026766,200,187.201636
1391.522471,200,187.55443
1271.618846,200,187.910918
-1017.718088,200,188.273434
-882.49708,200,188.623504
1261.933867,200,188.985045
1367.175994,200,189.344895
1473.02246,200,189.703704
1458.25071,200,190.67889
1431.746944,200,191.035701
-945.913727,200,191.388528
1304.434997,200,191.750518
1379.476172,200,192.108603
1439.143356,200,192.462874
1453.256426,200,192.822445
-745.690281,200,193.17329
1409.138189,200,193.532473
1425.088482,200,193.889819
1396.348472,200,194.241156
1432.556292,200,195.201922
1358.371587,200,195.55954
1342.802532,200,195.920645
-1037.579165,200,196.281141
1341.800683,200,196.636595
1424.47654,200,196.987971
1277.846041,200,197.34701
1444.828046,200,197.706005
1467.089832,200,198.062967
1449.719744,200,198.421791
-1083.977634,200,199.40536
1380.623681,200,199.763572
1384.276719,200,200.12298
-1088.134266,200,200.484879
1394.030287,200,200.844598
1455.189254,200,201.203623
1440.660539,200,201.565611
1453.921374,200,201.927161
1459.766584,200,202.286519
1418.35315,200,202.642733
-1070.98942,200,203.606049
1338.090219,200,203.960403
1475.128294,200,204.320344
-939.444193,200,204.671285
1461.85733,200,205.033674
1258.359202,200,205.391551
1448.115734,200,205.754132
1374.995312,200,206.114542
-989.558144,200,206.473129
1345.658592,200,206.825814
-948.021989,200,207.799023
1416.862552,200,208.155731
1443.086844,200,208.505002
1450.987981,200,208.866605
1417.584032,200,209.222833
-905.864526,200,209.582253
1414.039349,200,209.941031
1345.790108,200,210.292167
1430.396558,200,210.654948
1457.680595,200,211.01955
1390.212503,200,211.374264
1413.825989,200,212.337029
-1066.291247,200,212.696618
1430.6447,200,213.055439
1462.921257,200,213.406159
1448.828547,200,213.766153
1391.944053,200,214.12657
1430.363609,200,214.485786
1435.473451,200,214.842112
-1078.628279,200,215.200877
1430.112219,200,215.5551
1425.349817,200,216.521279
1460.694042,200,216.870845
1413.033676,200,217.2261
1333.321626,200,217.575359
1427.538363,200,217.934639
1436.456181,200,218.284018
1403.107561,200,218.643472
1381.697467,200,219.001421
1424.985131,200,219.357606
1465.832444,200,219.720696
1411.406182,200,220.677169
1444.817127,200,221.027116
-1207.611792,200,221.389028
1376.604835,200,221.746152
1416.142791,200,222.101019
1416.224729,200,222.476675
1451.776408,200,222.835844
-1081.119807,200,223.19116
1393.272346,200,223.551917
1487.274685,200,223.910901
1463.380508,200,224.878083
1372.290712,200,225.234206
1442.744517,200,225.583783
